date,sales
2019-01-01,32450.00
2019-02-01,34120.50
2019-03-01,36890.75
2019-04-01,39210.00
2019-05-01,41580.25
2019-06-01,44320.50
2019-07-01,42150.00
2019-08-01,40890.75
2019-09-01,43560.25
2019-10-01,47820.00
2019-11-01,52340.50
2019-12-01,58970.75
2020-01-01,35680.00
2020-02-01,33450.25
2020-03-01,28970.50
2020-04-01,25430.00
2020-05-01,29870.75
2020-06-01,34560.25
2020-07-01,37890.50
2020-08-01,39210.00
2020-09-01,42340.75
2020-10-01,46780.25
2020-11-01,51230.50
2020-12-01,57890.00
2021-01-01,38450.75
2021-02-01,40120.25
2021-03-01,42890.50
2021-04-01,45670.00
2021-05-01,48230.75
2021-06-01,51450.25
2021-07-01,49320.50
2021-08-01,47560.00
2021-09-01,50890.75
2021-10-01,55340.25
2021-11-01,60780.50
2021-12-01,68450.00
2022-01-01,43560.75
2022-02-01,45890.25
2022-03-01,48670.50
2022-04-01,51230.00
2022-05-01,54120.75
2022-06-01,57340.25
2022-07-01,55010.50
2022-08-01,53240.00
2022-09-01,56780.75
2022-10-01,61450.25
2022-11-01,67230.50
2022-12-01,75890.00
2023-01-01,48230.75
2023-02-01,50670.25
2023-03-01,53890.50
2023-04-01,56780.00
2023-05-01,59450.75
2023-06-01,62890.25
2023-07-01,60120.50
2023-08-01,58340.00
2023-09-01,62450.75
2023-10-01,67890.25
2023-11-01,74230.50
2023-12-01,83560.00
